favorite_count,retweet_count,tweet_id
3348,502,712085617388212225
0,130,711998809858043904
2925,1023,711743778164514816
33749,19081,711694788429553666
3760,1179,711363825979756544
3070,636,711008018775851008
2619,722,710844581445812225
2379,586,710658690886586372
4679,1948,710588934686908417
2202,537,710283270106132480
2463,1170,710269109699739648
2849,920,710140971284037632
3069,1103,709918798883774466
3610,1246,709852847387627521
3387,1106,709556954897764353
2298,601,709449600415961088
2469,594,709225125749587968
2491,667,709198395643068416
2104,435,709158332880297985
1842,683,708853462201716736
1733,525,708834316713893888
2821,848,708738143638450176
2623,700,708479650088034305
16440,10559,708400866336894977
2416,765,708349470027751425
3487,878,708130923141795840
1987,562,708109389455101952
3229,1171,707995814724026368
2776,1006,707969809498152960
2567,637,707741517457260545
3526,1038,707693576495472641
17446,6660,707610948723478529
2354,616,707411934438625280
3373,1126,707377100785885184
2859,825,707297311098011648
2253,823,707038192327901184
2370,622,707014260413456384
2127,624,706901761596989440
2652,1145,706644897839910912
3556,1477,706538006853918722
3548,964,706346369204748288
1750,488,706291001778950144
4025,2323,706169069255446529
1529,394,706153300320784384
3237,925,705970349788291072
2005,546,705786532653883392
3041,958,705475953783398401
3922,1758,705428427625635840
2651,834,705223444686888960
2242,633,705066031337840642
2322,568,704859558691414016
2719,1031,704819833553219584
3016,1047,704499785726889984
3493,1101,704480331685040129
1636,362,704347321748819968
1901,587,704113298707505153
1891,481,703774238772166656
2667,717,703631701117943808
3902,1431,703425003149250560
3614,1186,703382836347330562
2025,566,703268521220972544
27131,13062,703041949650034688
1654,475,702899151802126337
2266,582,702671118226825216
2961,996,702539513671897089
3372,1083,702321140488925184
4944,1392,702217446468493312
3942,1072,701952816642965504
3533,1766,701805642395348998
2900,966,701570477911896070
12595,5333,701214700881756160
2669,640,700864154249383937
2509,1000,700796979434098688
2702,835,700518061187723268
4257,1872,700462010979500032
2303,696,700151421916807169
2731,726,700062718104104960
3413,1396,700002074055016451
2304,521,699788877217865730
2015,629,699775878809702401
6114,2729,699446877801091073
1419,343,699423671849451520
1941,457,699370870310113280
2304,658,699088579889332224
3082,1246,699072405256409088
2678,1246,699036661657767936
2785,946,698953797952008193
2540,711,698710712454139905
1331,355,698635131305795584
1926,474,698355670425473025
4892,2093,698262614669991936
2896,778,698178924120031232
3378,1354,697990423684476929
3102,1240,697881462549430272
3252,1055,697616773278015490
2099,519,697575480820686848
2485,699,697482927769255936
4825,1953,697270446429966336
3113,1213,697255105972801536
3271,1065,696900204696625153
5010,1885,696886256886657024
1528,372,696754882863349760
2442,678,696713835009417216
1250,149,696490539101908992
3299,1197,696405997980676096
3100,1223,695816827381944320
1925,782,695767669421768709
4518,1892,695446424020918272
3739,1529,695314793360662529
2931,1158,695074328191332352
2741,823,695051054296211456
2834,973,694905863685980160
1551,298,694356675654983680
1616,503,694342028726001664
4301,2120,694206574471057408
3500,1076,694001791655137281
1790,385,693942351086120961
1381,131,693644216740769793
2521,832,693629975228977152
5205,2063,693590843962331137
1833,663,693486665285931008
2459,846,693267061318012928
2951,760,693231807727280129
1774,644,693109034023534592
2742,786,692919143163629568
1831,623,692901601640583168
2967,918,692828166163931137
4487,1612,692568918515392513
1896,433,692530551048294401
9611,3633,692417313023332352
2210,821,692158366030913536
3498,1330,692041934689402880
4074,1738,691820333922455552
2959,1060,691756958957883396
2454,585,691483041324204033
2733,884,691444869282295808
2650,687,691321916024623104
1763,350,691090071332753408
3691,1315,690959652130045952
3385,1076,690932576555528194
